AP1,AP2,AP3,AP4,X,Y
-68,-80,-77,-81,0,0
-67,-78,-81,-78,0.1,0
-60,-80,-80,-82,0.2,0
-60,-84,-85,-83,0.3,0
-60,-80,-77,-81,0.4,0
-64,-85,-81,-83,0.5,0
-60,-85,-84,-79,0.6,0
-60,-79,-81,-78,0.7,0
-53,-77,-75,-81,0.8,0
-52,-84,-84,-81,0.9,0
-54,-83,-84,-82,1,0
-60,-84,-84,-81,1.1,0
-58,-84,-76,-83,1.2,0
-61,-81,-80,-89,1.3,0
-64,-81,-78,-82,1.4,0
-60,-82,-83,-80,1.5,0
-54,-80,-77,-84,1.6,0
-54,-84,-83,-77,1.7,0
-55,-83,-83,-80,1.8,0
-57,-84,-81,-79,1.9,0
-56,-83,-80,-78,2,0
-55,-82,-80,-79,2.1,0
-57,-84,-75,-83,2.2,0
-57,-84,-76,-80,2.3,0
-58,-85,-75,-80,2.4,0
-57,-83,-80,-82,2.6,0
-58,-78,-82,-81,2.8,0
-57,-76,-80,-81,3,0
-60,-75,-80,-83,3.2,0
-63,-78,-78,-83,3.4,0
-63,-82,-80,-76,3.6,0
-67,-80,-81,-84,0,0.5
-65,-80,-80,-81,0.2,0.5
-57,-80,-78,-81,0.4,0.5
-61,-81,-82,-84,0.6,0.5
-50,-88,-74,-77,0.8,0.5
-55,-85,-79,-81,1,0.5
-55,-85,-81,-79,1.2,0.5
-50,-85,-78,-77,1.4,0.5
-50,-88,-72,-80,1.6,0.5
-50,-88,-77,-84,1.8,0.5
-55,-89,-80,-83,2,0.5
-57,-86,-77,-81,2.2,0.5
-61,-85,-75,-80,2.4,0.5
-64,-86,-75,-75,2.6,0.5
-69,-82,-77,-78,2.8,0.5
-72,-83,-74,-80,3,0.5
-65,-78,-78,-80,3.2,0.5
-63,-78,-80,-79,3.4,0.5
-65,-77,-78,-78,3.6,0.5
-64,-78,-82,-84,0,1
-56,-78,-83,-81,0.2,1
-57,-81,-84,-78,0.4,1
-52,-82,-83,-78,0.6,1
-55,-81,-82,-82,0.8,1
-55,-84,-80,-83,1,1
-55,-83,-74,-84,1.2,1
-60,-84,-78,-79,1.4,1
-61,-84,-80,-85,1.6,1
-65,-81,-76,-88,1.8,1
-65,-84,-81,-86,2,1
-60,-86,-81,-83,2.2,1
-55,-88,-81,-81,2.4,1
-57,-84,-80,-85,2.6,1
-60,-83,-82,-86,2.8,1
-62,-86,-77,-81,3,1
-65,-82,-76,-82,3.2,1
-65,-84,-78,-83,3.4,1
-68,-83,-79,-80,3.6,1
-50,-82,-84,-83,0,1.5
-36,-86,-84,-83,0.2,1.5
-40,-83,-77,-83,0.4,1.5
-47,-81,-81,-79,0.6,1.5
-51,-81,-81,-84,0.8,1.5
-48,-86,-85,-84,1,1.5
-51,-87,-84,-83,1.2,1.5
-58,-83,-81,-82,1.4,1.5
-60,-82,-83,-81,1.6,1.5
-63,-84,-85,-83,1.8,1.5
-64,-84,-79,-82,2,1.5
-65,-88,-83,-81,2.2,1.5
-64,-86,-81,-81,2.4,1.5
-66,-88,-78,-84,2.6,1.5
-65,-84,-80,-79,2.8,1.5
-63,-82,-81,-82,3,1.5
-64,-86,-77,-83,3.2,1.5
-63,-85,-80,-84,3.4,1.5
-67,-86,-82,-84,3.6,1.5
-40,-85,-80,-85,0,2
-46,-85,-81,-81,0.2,2
-56,-84,-79,-80,0.4,2
-58,-85,-80,-82,0.6,2
-52,-82,-88,-80,0.8,2
-52,-82,-84,-83,1,2
-52,-82,-84,-83,1.2,2
-53,-83,-85,-83,1.4,2
-57,-86,-84,-83,1.6,2
-62,-84,-83,-84,1.8,2
-63,-85,-86,-88,2,2
-62,-86,-84,-86,2.2,2
-65,-84,-81,-85,2.4,2
-64,-83,-80,-83,2.6,2
-68,-79,-78,-83,2.8,2
-69,-82,-79,-84,3,2
-68,-84,-82,-85,3.2,2
-67,-81,-80,-87,3.4,2
-69,-80,-81,-86,3.6,2
